FREN 202A, Intermediate French, 3, CMBS 002, MWF, 11:00 am-11:50 am 
PHYS 106, University Physics w/lab, 4, JEPS 217 219, W, 9:00 am-10:50 am, TR, 8:00 am-9:15 am
MUPR 341H, Chamber Choir, 1, POLL 213, W, 4:00 pm-5:55 pm
ENGL 202V, Professional Writing, 3, CMBS 322, S, 9:00 am-12:00 pm
HIST 131, American History to 1865, 3, MONR 346, MWF, 12:00 pm-12:50 pm
LRSP 460, Leadership/ Strategy & Policy, 3, STNB 110, T, 6:00 pm-9:30 pm
