GEOG 330, Regional Planning Seminar	, 3, MONR 240, M, 7:00 pm-9:45 pm
ARTS 241A, Photography I, 3, MELC 212, M, 2:00 pm-4:45 pm
PSYC 261A, Intro Statistics for Psyc, 3, MERC 202, MWF, 1:00 pm-1:50 pm
EDUC 456, Teaching of Math & Comp Sci, 3, TRIN 210, M, 6:00 pm-8:45 pm
MATH 122, Calculus II, 3, TRIN 140, M, 3:30 pm-4:45 pm
